units,,min,K,K,K,,,,,Ohm/sq,Ohm,m^3/C,Ohm.cm,/cm^3,cm^2/Vs,Ohm
name,,elapsed time,stage temperature,sample temperature,monitor temperature,,Type,Rxx State,Rxy State,sheet resistance,Hall resistance,Hall coefficient,Hall resistivity,Hall (carrier) density,Hall mobility,2 point contact 
CY03-PVK-02,THA46,1031.241967,19.949,123.1884058,76.476,,p,51,61,41971226620,1303059249,1511.548728,2434331.144,4129182212,620.929791,3.40039E+12
CY03-PVK-02,THA47,1052.850683,20.076,123.1884058,76.693,,n,51,61,82715841914,-153587028.8,-178.1609534,4797518.831,35032704999,37.1360613,2.9611E+12
CY03-PVK-02,THA48,1076.49345,40.017,131.1630435,87.215,,n,51,61,48474181913,-84788380.66,-98.35452157,2811502.551,63458802123,34.98290319,-2.11047E+12
CY03-PVK-02,THA49,1101.011333,60.015,139.4676259,99.78,,n,51,61,23668728492,-40859662.38,-47.39720836,1372786.253,1.31684E+11,34.52628424,4.20967E+12
CY03-PVK-02,THA50,1124.593083,79.911,150.6321429,116.161,,p,51,61,-37179008137,11895890.54,13.79923303,-2156382.472,4.52305E+11,6.399251156,3.315E+12
CY03-PVK-02,THA51,1148.1925,100.039,160.3321429,131.125,,p,51,61,63428847297,29375160.9,34.07518664,3678873.143,1.83167E+11,9.262397837,3.04195E+12
CY03-PVK-02,THA52,1171.815267,120.087,170.3848921,148.99,,n,51,61,73904423614,-57139141.32,-66.28140393,4286456.57,94166082070,15.46298274,5.93765E+12
CY03-PVK-02,THA53,1195.446167,139.933,182.2321429,164.017,,p,51,61,10317832411,40013345.36,46.41548061,598434.2798,1.34469E+11,77.56153378,3.41103E+12
CY03-PVK-02,THA54,1219.091867,159.997,193.3741007,180.479,,p,51,61,62099903398,24769302.81,28.73239126,3601794.397,2.17227E+11,7.977243588,2.88194E+12
CY03-PVK-02,THA55,1242.745533,179.967,207.4172662,198.398,,n,51,61,92384556213,-55545661.39,-64.43296721,5358304.26,96867494893,12.02488028,2.38718E+12
CY03-PVK-02,THA56,1266.383033,199.963,220.4275362,214.583,,n,51,61,77571616618,-73165647.35,-84.87215093,4499153.764,73539553952,18.86402541,1.65339E+12
CY03-PVK-02,THA57,1290.024683,220.01,232.0289855,231.108,,p,51,61,1.29284E+11,1062493.283,1.232492208,7498500.718,5.0641E+12,0.164365152,1.55378E+12
CY03-PVK-02,THA58,1313.6442,239.996,245.4963504,247.261,,n,51,61,2.63745E+11,-35328244.8,-40.98076397,15297187.71,1.52302E+11,2.678973726,1.83339E+12
CY03-PVK-02,THA59,1337.272883,259.979,263.7867647,263.901,,p,51,61,85348268759,11588574.52,13.44274644,4950199.588,4.64299E+11,2.715596857,1.43554E+12
CY03-PVK-02,THA60,1360.92055,280.002,281.0698529,280.997,,n,51,61,1.05079E+11,-450977311.1,-523.1336808,6094562.132,11930908582,85.83613876,8.12633E+11
CY03-PVK-02,THA61,1384.5439,300.008,299.9,298.286,,p,51,61,91268412785,8362698.087,9.700729781,5293567.942,6.43401E+11,1.832550349,2.48017E+11
